건축구분,허가번호,대지위치,지목,대지면적(㎡),건축면적(㎡),연면적(㎡),증축연면적(㎡),구조,주용도,부속용도,설계자 전화번호,설계사무소명
용도변경,2021-건축과-용도변경허가-35,강원도 원주시 단계동 533-6 외1필지,대,526,104.76,389.03,,철근콘크리트구조,단독주택,"다가구주택,1종근린생활시설",033-765-7283,土宇건축사사무소
신축,2021-신속허가과-신축허가-89,강원도 원주시 태장동 797-3,잡종지,522,201,201,,경량철골구조,제2종근린생활시설,(수리점),033-764-8566,라인종합건축사사무소
신축,2021-신속허가과-신축허가-90,강원도 원주시 봉산동 366 외2필지,답,"3,427",580.8,"1,110.83",,일반철골구조,제2종근린생활시설,제조업소,033-732-9485,(주)종합건축사사무소 이서건축
용도변경,2021-안전도시과-용도변경허가-4,강원도 원주시 단구동 74-20,대,146,84.24,84.24,,경량철골구조,제1종근린생활시설,,033-746-3642,한울종합건축사사무소
신축,2021-신속허가과-신축허가-88,강원도 원주시 태장동 산 131-1 외1필지,임야,"2,593",268.6,268.6,,기타강구조,제1종근린생활시설,휴게음식점,,프라임건축사사무소
신축,2021-안전도시과-신축허가-28,강원도 원주시 반곡동 2066-9,대,264.1,141.31,175.51,,철근콘크리트구조,단독주택,,031-852-6818,주식회사제이에스디자인건축사사무소
신축,2021-안전도시과-신축허가-27,강원도 원주시 반곡동 2033-8,대,286.2,112.28,185.72,,철근콘크리트구조,단독주택,단독,,비케이건축사사무소
신축,2021-신속허가과-신축허가-87,강원도 원주시 판부면 서곡리 산 7-43,임야,"1,048",173.5,167.3,,경량철골구조,단독주택,단독주택,033-344-0037,가인건축사사무소
증축,2021-신속허가과-증축허가-16,강원도 원주시 무실동 1217-11 외1필지,대,"1,749",324,324,60,일반철골구조,창고시설,"농업용창고,사무실",033-747-0447,동성건축사사무소
신축,2021-신속허가과-신축허가-85,강원도 원주시 반곡동 2042-8 외3필지,대,"15,200.9","7,928.6","31,036.76",,철근콘크리트구조,업무시설,,02-3438-2295,(주)해안종합건축사사무소
신축,2021-신속허가과-신축허가-86,강원도 원주시 지정면 가곡리 1561-10,대,388.1,229.05,479.97,,철근콘크리트구조,단독주택,제2종근린생활시설(일반음식점),033-747-5799,건축사사무소 지인
신축,2021-신속허가과-신축허가-83,강원도 원주시 지정면 가곡리 1438-8,대,361.6,214.32,588.32,,철근콘크리트구조,단독주택,다가구주택,,율건축사사무소
용도변경,2021-건축과-용도변경허가-33,강원도 원주시 행구동 1836-21,대,382,139.43,195.41,,,제2종근린생활시설,"사무소,단독주택",033-746-0467,조화 건축사사무소
신축,2021-안전도시과-신축허가-26,강원도 원주시 반곡동 1963-41,대,398.4,99.54,152.34,,철근콘크리트구조,단독주택,,033-744-9071,백강욱 건축사사무소
신축,2021-신속허가과-신축허가-80,강원도 원주시 학성동 581-1 외3필지,답,"1,322",259.2,"1,036.8",,일반철골구조,자동차관련시설,정비공장,033-765-9232,주식회사 흙엔지니어링건축사사무소
신축,2021-신속허가과-신축허가-81,강원도 원주시 태장동 577-29,답,498,158.1,155,,일반철골구조,제2종근린생활시설,수리점(자동차수리점),033-747-0447,동성건축사사무소
증축,2021-신속허가과-공용건축물-12,강원도 원주시 흥업면 흥업리 1576-7,잡종지,"2,500",875.03,875.03,385.51,철근콘크리트구조,제2종근린생활시설,"(제조업소,교육연구시설-연구소)",033-732-6885,건축사사무소 아키현
용도변경,2021-건축과-용도변경허가-31,강원도 원주시 지정면 가곡리 1345-6,대,"1,408","1,124.8","7,560.17",,철근콘크리트구조,제2종근린생활시설,일반음식점,033-732-9485,(주)종합건축사사무소이서건축
용도변경,2021-건축과-용도변경허가-32,강원도 원주시 일산동 53-7 외1필지,대,298.5,177.63,597.08,,,제2종근린생활시설,"사무소,일반음식점,노래연습장",033-746-0467,조화 건축사사무소
신축,2021-신속허가과-신축허가-79,강원도 원주시 흥업면 대안리 286 외1필지,대,"2,189",493.29,493.29,,일반철골구조,제2종근린생활시설,테니스장 및 화장실,033-747-5077,주식회사건축사사무소이노
신축,2021-안전도시과-신축허가-24,강원도 원주시 관설동 558,전,"2,989",378.67,599.535,,일반철골구조,제1종근린생활시설,휴게음식점,033-765-7283,土宇건축사사무소
용도변경,2021-건축과-용도변경허가-30,강원도 원주시 무실동 1855-1,대,"1,557.5","1,203.7","8,838.21",,철근콘크리트구조,제1종근린생활시설,"제1,2종 근린생활시설, 업무시설",033-747-1806,태인도시ENC종합건축사사무소
신축,2021-신속허가과-신축허가-75,강원도 원주시 태장동 1948,답,"4,387",877.27,"1,498.99",,일반철골구조,제1종근린생활시설,,033-732-6363,공간건축사사무소
신축,2021-신속허가과-신축허가-76,강원도 원주시 문막읍 건등리 338-5,전,963,198.88,198.88,,일반철골구조,제1종근린생활시설,소매점,033-748-4214,건축사사무소 담아
신축,2021-신속허가과-신축허가-77,강원도 원주시 행구동 1767-1 외2필지,대,"3,790",899,"1,787.8",,일반철골구조,제1종근린생활시설,"소매점,휴게음식점",,건축사사무소 텐
신축,2021-신속허가과-신축허가-78,강원도 원주시 행구동 1767-7 외2필지,과수원,"3,484",665.04,"1,324.38",,일반철골구조,제1종근린생활시설,"소매점, 사무소",,건축사사무소 텐
신축,2021-안전도시과-신축허가-23,강원도 원주시 반곡동 2033-18,대,287.1,114.57,175.05,,철근콘크리트구조,단독주택,단독주택,,준 아키텍츠 건축사사무소
신축,2021-신속허가과-신축허가-73,강원도 원주시 학성동 10-2 외3필지,답,"3,842",480,480,,경량철골구조,제1종근린생활시설,소매점,0337476390,(주)기림건축사사무소
신축,2021-신속허가과-신축허가-74,강원도 원주시 태장동 산 97,임야,"1,407",137.76,137.76,,경량철골구조,제1종근린생활시설,,033-765-9232,주식회사 흙엔지니어링건축사사무소
개축,2021-신속허가과-개축허가-1,강원도 원주시 호저면 광격리 458 외2필지,목장용지,"2,393",892.26,957.19,,일반철골구조,동.식물관련시설,동.식물관련시설,033-344-6924,신원 건축사사무소
신축,2021-안전도시과-신축허가-22,강원도 원주시 관설동 625-1,대,281,148.84,198.05,,일반철골구조,제2종근린생활시설,수리점,,비케이건축사사무소
신축,2021-신속허가과-공용건축물-11,강원도 원주시 지정면 가곡리 1530-2,대,"3,015.7","1,654.91","2,876.31",,철근콘크리트구조,교육연구시설,도서관,,주식회사 월드에이앤디건축사사무소
신축,2021-안전도시과-신축허가-21,강원도 원주시 관설동 625-8,대,270,156.66,198.97,,철근콘크리트구조,단독주택,1종근린생활시설(소매점),033-765-7283,土宇건축사사무소
신축,2021-신속허가과-신축허가-71,강원도 원주시 학성동 978-13,대,"1,494",687.57,"2,905.41",,일반철골구조,판매시설,상점,031-206-4903,두리방 건축사사무소
신축,2021-신속허가과-신축허가-72,강원도 원주시 흥업면 흥업리 562-1 외1필지,답,"2,636",975.78,"1,643.24",,철근콘크리트구조,제1종근린생활시설,소매점,033-743-5841,태기건축사사무소
신축,2021-신속허가과-신축허가-70,강원도 원주시 태장동 987-2 외2필지,답,"2,857",397.8,998.01,,일반철골구조,제2종근린생활시설,일반음식점,033)765-6111,건축사사무소조형
신축,2021-신속허가과-공용건축물-15,강원도 원주시 봉산동 902-210 외2필지,대,402.4,228.27,497.26,,철근콘크리트구조,제2종근린생활시설,사무소,,예림건축사사무소
신축,2021-신속허가과-신축허가-109,강원도 원주시 문막읍 반계리 2262-11,전,"6,372.8",640.8,735.6,,일반철골구조,공장,,,희래건축사사무소
신축,2021-안전도시과-신축허가-41,강원도 원주시 반곡동 2015-7,대,299.9,119.86,177.11,,철근콘크리트구조,단독주택,,02-577-3211,아이에스엠 아키텍츠 건축사사무소
신축,2021-안전도시과-신축허가-42,강원도 원주시 반곡동 2001-25 외1필지,대,595.9,233.98,327.49,,철근콘크리트구조,단독주택,,02-577-3211,아이에스엠 아키텍츠 건축사사무소
용도변경,2021-안전도시과-용도변경허가-5,강원도 원주시 단구동 1631-3,대,219.7,127.68,255.36,,철근콘크리트구조,제2종근린생활시설,단독주택,033-746-3642,한울종합건축사사무소
증축,2021-신속허가과-증축허가-23,강원도 원주시 지정면 신평리 1076,대,"15,129.1","4,943.08","7,088.3",931.53,철근콘크리트구조,발전시설,복합건물,033-766-3400,도시공간안전진단건축사사무소(주)
신축,2021-신속허가과-신축허가-107,강원도 원주시 가현동 451,전,"1,924",495.1,491.9,,일반철골구조,제2종근린생활시설,제조업소,033-742-0522,대산 건축사 사무소
신축,2021-신속허가과-신축허가-108,강원도 원주시 반곡동 1574-1 외1필지,대,"1,500",742.968,"2,747.5873",,철근콘크리트구조,공동주택,단지형연립주택,042-485-0671,건축사사무소 예당
신축,2021-안전도시과-신축허가-38,강원도 원주시 단구동 140-19 외1필지,대,259,124.6,442.32,,철근콘크리트구조,제2종근린생활시설,"(사무소),단독주택",,비케이건축사사무소
신축,2021-안전도시과-신축허가-39,강원도 원주시 반곡동 2039-16,대,317.2,126.85,199.21,,일반목구조,단독주택,,,(주)온유건축사사무소
신축,2021-안전도시과-신축허가-40,강원도 원주시 반곡동 2036-10,대,380.7,151.23,298.33,,철근콘크리트구조,단독주택,,02-586-3349,우림에스제이건축사사무소(주)
신축,2021-신속허가과-신축허가-106,강원도 원주시 지정면 가곡리 1348-9,대,"1,088.7",805.38,"6,153.68",,철근콘크리트구조,업무시설,오피스텔,033-747-1806,태인도시ENC종합건축사사무소
신축,2021-신속허가과-신축허가-105,강원도 원주시 소초면 흥양리 1659 외2필지,대,"1,472",499.5,999,,일반철골구조,제1종근린생활시설,"소매점,의원,일반음식점, 사무소",033-748-7345,계명건축사사무소
신축,2021-신속허가과-신축허가-103,강원도 원주시 귀래면 운남리 1005,답,927,198.26,396.52,,일반철골구조,제2종근린생활시설,사무소,,예림건축사사무소
신축,2021-신속허가과-신축허가-104,강원도 원주시 가현동 133-3 외2필지,대,167.9,95.77,166.27,,철근콘크리트구조,단독주택,단독주택,033-747-3322,신한건축사사무소
신축,2021-신속허가과-신축허가-102,강원도 원주시 태장동 2770-4,대,251,138.24,367.95,,철근콘크리트구조,단독주택,다가구주택(2가구),033-747-5077,주식회사건축사사무소이노
신축,2021-안전도시과-신축허가-37,강원도 원주시 반곡동 1995-1,대,330,118.76,196.66,,철근콘크리트구조,단독주택,,033-747-5799,건축사사무소 지인
신축,2021-신속허가과-신축허가-101,강원도 원주시 행구동 산 178-12 외1필지,임야,730,225.96,729.66,,철근콘크리트구조,제2종근린생활시설,제2종근린생활시설 및 다가구주택,043-855-1555,(주)건축사사무소공감
신축,2021-안전도시과-신축허가-35,강원도 원주시 반곡동 1746-3,대,465,92.52,149.08,,철근콘크리트구조,단독주택,,033-747-5799,건축사사무소 지인
증축,2021-신속허가과-증축허가-21,강원도 원주시 문막읍 후용리 1460,답,"3,901","1,671.19","1,671.19",254,일반철골구조,동.식물관련시설,축사(우사),033-747-0460,숲도시건축사사무소
증축,2021-신속허가과-증축허가-22,강원도 원주시 학성동 1020-11,대,159,50.51,117.65,49.89,일반철골구조,단독주택,단독주택,,예촌건축사사무소
신축,2021-신속허가과-신축허가-100,강원도 원주시 문막읍 후용리 1043 외2필지,답,"5,526","3,292.8","3,292.8",,일반철골구조,동.식물관련시설,축사,,주식회사건축사사무소이노
신축,2021-안전도시과-신축허가-34,강원도 원주시 단구동 571-17,대,457,184.68,664.32,,철근콘크리트구조,제2종근린생활시설,"(사무소),단독(다가구)주택",,비케이건축사사무소
신축,2021-신속허가과-신축허가-99,강원도 원주시 태장동 2757-9,대,269,161.19,443.83,,철근콘크리트구조,단독주택,,033-747-5077,주식회사건축사사무소이노
증축,2021-신속허가과-증축허가-19,강원도 원주시 무실동 1871-1,대,"2,250.3",913.19,"1,718.16","1,157.7",일반철골구조,종교시설,,033-746-0467,조화 건축사사무소
증축,2021-신속허가과-증축허가-20,강원도 원주시 흥업면 흥업리 659 외4필지,대,"1,676",323.94,424,139.76,경량철골구조,단독주택,,033-731-0854,건축사사무소 한
용도변경,2021-건축과-용도변경허가-37,강원도 원주시 태장동 1357-11,대,365,173.6,186.8,,벽돌구조,단독주택,,,건축사사무소섭리
신축,2021-신속허가과-신축허가-97,강원도 원주시 문막읍 후용리 1108,답,"3,154","1,873","1,873",,일반철골구조,동.식물관련시설,(우사),033-765-7725,건축사사무소길
신축,2021-신속허가과-신축허가-96,강원도 원주시 호저면 용곡리 541-2 외1필지,대,664,203.81,288.9,,철근콘크리트구조,제1종근린생활시설,,033-743-9961,건축사사무소이지
증축,2021-신속허가과-증축허가-18,강원도 원주시 소초면 교항리 505-2 외2필지,전,"8,270.89","1,323.6","1,719.6",240,강파이프구조,동.식물관련시설,축사,033-748-4214,건축사사무소 담아
신축,2021-신속허가과-신축허가-94,강원도 원주시 판부면 서곡리 산 7-18,임야,462,92.01,188.22,,철근콘크리트구조,단독주택,,033-343-2003,건축사사무소 동아건축
신축,2021-신속허가과-신축허가-95,강원도 원주시 반곡동 1493-1 외1필지,전,"3,920","1,061.71","3,849.45",,철근콘크리트구조,종교시설,,,(주)터간종합건축사사무소
신축,2021-신속허가과-공용건축물-14,강원도 원주시 학성동 1012-5 외1필지,대,221,122.05,122.05,,철근콘크리트구조,단독주택,노인복지시설,033-734-3938,MS도시 건축사사무소
신축,2021-안전도시과-신축허가-31,강원도 원주시 단구동 190-6,대,274,157.07,402.15,,일반철골구조,제2종근린생활시설,사무소,033-747-1806,태인도시ENC종합건축사사무소
신축,2021-안전도시과-신축허가-32,강원도 원주시 반곡동 2011-8,대,330.3,131.87,177.5,,철근콘크리트구조,단독주택,,02-3144-1133,(주) 건축사사무소 코비
신축,2021-신속허가과-신축허가-93,강원도 원주시 지정면 신평리 1106-3,공장용지,"14,090.9","3,429.52","6,409.85",,기타콘크리트구조,공장,,02-522-3883,(주)글로벌에이앤씨건축사사무소
용도변경,2021-건축과-용도변경허가-36,강원도 원주시 무실동 1857-15,대,804.1,558.6,"4,418.59",,철근콘크리트구조,제1종근린생활시설,교육연구시설,033-748-2526,건축사사무소 도원
신축,2021-신속허가과-신축허가-91,강원도 원주시 판부면 서곡리 2035-1,대,389.9,132.44,182.39,,일반목구조,단독주택,,033-765-7725,건축사사무소길
신축,2021-신속허가과-신축허가-92,강원도 원주시 지정면 신평리 1133-11,대,272.6,161.44,478.62,,철근콘크리트구조,단독주택,근린생활시설 및 다가구주택,,건축사사무소 아키진
증축,2021-신속허가과-증축허가-29,강원도 원주시 행구동 183 외2필지,대,"1,492",587.73,"1,753.38",147.23,철근콘크리트구조,노유자시설,노인요양시설,033-735-1436,(주)윤건축사사무소
신축,2021-신속허가과-신축허가-135,강원도 원주시 문막읍 포진리 366-2 외1필지,답,989,197.56,447.71,,철근콘크리트구조,단독주택,제2종근린생활시설(사무소),,비케이건축사사무소
신축,2021-신속허가과-신축허가-136,강원도 원주시 지정면 간현리 34 외1필지,전,"4,881",959.54,959.54,,일반철골구조,제2종근린생활시설,,033-735-1436,(주)윤건축사사무소
증축,2021-안전도시과-증축허가-3,강원도 원주시 단구동 840-2 외6필지,창고용지,"8,037","1,712.62","2,807.31","1,769.38",일반철골구조,운동시설,"(실내골프연습장),제1,2종근린생활시설(일반음식점,사무소)",,비케이건축사사무소
용도변경,2021-안전도시과-용도변경허가-6,강원도 원주시 관설동 677-7,대,302,87,87,,경량철골구조,창고시설,창고,033-747-5077,주식회사건축사사무소이노
용도변경,2021-건축과-용도변경허가-40,강원도 원주시 신림면 성남리 894,대,660,83.04,104.02,,일반목구조,야영장시설,관리동,033-746-0617,도시그룹김종길종합건축사사무소
신축,2021-신속허가과-신축허가-134,강원도 원주시 흥업면 흥업리 724-27,임야,"3,190",334,334,,경량철골구조,제2종근린생활시설,"일반음식점,사무소,창고",033-747-0447,동성건축사사무소
신축,2021-신속허가과-신축허가-132,강원도 원주시 문막읍 궁촌리 102 외3필지,임야,"1,372",297.04,293.57,,일반철골구조,제2종근린생활시설,사무소 및 창고,033-747-1806,태인도시ENC종합건축사사무소
신축,2021-신속허가과-신축허가-133,강원도 원주시 문막읍 반계리 199-50,임야,"1,227",496.8,496.8,,일반철골구조,창고시설,농산물저온저장고,033-742-4130,건축사사무소 모아
신축,2021-신속허가과-신축허가-130,강원도 원주시 지정면 신평리 1200-1,대,295.4,176.42,499.62,,철근콘크리트구조,단독주택,다가구주택,033-747-1806,태인도시ENC종합건축사사무소
신축,2021-신속허가과-신축허가-131,강원도 원주시 문막읍 동화리 1039-11 외3필지,임야,"15,789","1,903.08","1,906.54",,일반철골구조,공장,공장시설,032-427-0955,(주)머지건축사사무소
용도변경,2021-건축과-용도변경허가-39,강원도 원주시 흥업면 사제리 1104,대,170,67.59,67.59,,경량철골구조,제2종근린생활시설,사무소,033-743-9041,남일건축사사무소
신축,2021-신속허가과-신축허가-129,강원도 원주시 태장동 2800,대,915.8,546.04,"2,632.75",,철근콘크리트구조,종교시설,,02-561-6197,(주)예인피앤에이치건축사사무소
신축,2021-신속허가과-신축허가-128,강원도 원주시 태장동 946-5,대,992,409.77,990.84,,일반철골구조,제1종근린생활시설,소매점,033-748-0075,건축사사무소조원
신축,2021-신속허가과-신축허가-127,강원도 원주시 지정면 월송리 119 외3필지,답,"3,634","1,234.95","1,406.07",,일반철골구조,공장,사무실,033-743-9041,남일건축사사무소
신축,2021-신속허가과-공용건축물-16,강원도 원주시 봉산동 902-90 외2필지,대,362.9,187.61,321.84,,철근콘크리트구조,제1종근린생활시설,주민공동이용시설,,율건축사사무소
신축,2021-신속허가과-신축허가-125,강원도 원주시 일산동 168-2 외1필지,대,731,179.06,158.17,,철근콘크리트구조,제1종근린생활시설,소매점,031-548-0049,다온건축사사무소주식회사
신축,2021-신속허가과-신축허가-126,강원도 원주시 지정면 가곡리 1401-3,대,395.5,215.29,663.93,,철근콘크리트구조,단독주택,단독(다가구)주택 및 근생,,율건축사사무소
증축,2021-신속허가과-증축허가-28,강원도 원주시 개운동 255-1,대,"3,235.17","1,031.23","2,490.17","1,807.79",철근콘크리트구조,종교시설,수녀원,02-2088-5874,스플렌디드 건축사사무소
신축,2021-신속허가과-신축허가-124,강원도 원주시 지정면 가곡리 1437-7,대,350.3,209.58,487.58,,철근콘크리트구조,단독주택,다가구주택,033-748-2526,건축사사무소 도원
증축,2021-안전도시과-증축허가-2,강원도 원주시 관설동 445 외1필지,대,"3,632","1,066.06","2,177.48","2,197.46",철근콘크리트구조,노유자시설,,070-7609-4373,주식회사 토펙건축사사무소
용도변경,2021-건축과-용도변경허가-38,강원도 원주시 문막읍 궁촌리 139 외2필지,대,991,190.84,190.84,,,제2종근린생활시설,및 제1종근린생활시설,033-764-8566,라인종합건축사사무소
신축,2021-신속허가과-신축허가-122,강원도 원주시 문막읍 동화리 165-1 외1필지,잡종지,"3,620",495,495,,일반철골구조,창고시설,창고시설,033-747-0447,동성건축사사무소
신축,2021-신속허가과-신축허가-123,강원도 원주시 지정면 가곡리 766-13,임야,379,131.58,367.38,,철근콘크리트구조,제2종근린생활시설,제조업소,033-747-3322,신한건축사사무소
증축,2021-신속허가과-증축허가-27,강원도 원주시 우산동 405-15 외4필지,공장용지,"17,034","10,252.87","12,630.44",739.2,철근콘크리트구조,공장,공장,033-735-1147,가원건축사사무소
신축,2021-안전도시과-신축허가-46,강원도 원주시 반곡동 2007-15,대,310.8,122.68,198.1,,철근콘크리트구조,단독주택,단독주택,033-748-4214,건축사사무소 담아
신축,2021-신속허가과-신축허가-121,강원도 원주시 지정면 간현리 1108-18,대,322,167.96,482.98,,철근콘크리트구조,제2종근린생활시설,일반음식점,02-1544-9801,유하우스건축사사무소주식회사
신축,2021-신속허가과-신축허가-120,강원도 원주시 지정면 보통리 34 외2필지,전,"2,018",648.72,791.76,,일반철골구조,창고시설,,033-742-0522,대산 건축사 사무소
신축,2021-신속허가과-신축허가-118,강원도 원주시 소초면 학곡리 620,대,748,129.9,253.1,,철근콘크리트구조,단독주택,단독주택,033-748-4214,건축사사무소 담아
신축,2021-신속허가과-신축허가-119,강원도 원주시 판부면 서곡리 1996-2,대,199.5,118.25,395.19,,철근콘크리트구조,단독주택,단독(다가구)주택 및 근린생활시설,033-748-2526,건축사사무소 도원
신축,2021-안전도시과-신축허가-44,강원도 원주시 반곡동 2033-12,대,286,108.36,194.85,,철근콘크리트구조,단독주택,단독주택,033-743-2743,종합건축사사무소 비전
신축,2021-안전도시과-신축허가-45,강원도 원주시 반곡동 2039-19,대,319.8,125.38,196.4,,철근콘크리트구조,단독주택,,,KKKL 건축사사무소
신축,2021-신속허가과-신축허가-117,강원도 원주시 소초면 학곡리 1015-2,임야,"1,840",273.12,333.74,,일반철골구조,제2종근린생활시설,종교집회장,033-747-6390,(주)기림건축사사무소
증축,2021-신속허가과-증축허가-26,강원도 원주시 지정면 가곡리 1283-4,대,"20,860.2","3,276.84","8,401.17",231.34,철근콘크리트구조,공장,,02-577-8486,(주)디엠씨종합건축사사무소
증축,2021-신속허가과-증축허가-25,강원도 원주시 지정면 안창리 822 외4필지,대,"6,735","1,089","1,089",348,경량철골구조,공장,,033-743-5841,태기건축사사무소
신축,2021-신속허가과-신축허가-116,강원도 원주시 지정면 신평리 1114-5,대,972.9,672,"2,623.44",,철근콘크리트구조,제1종근린생활시설,제2종근린생활시설,,주식회사 알티건축사사무소
신축,2021-신속허가과-신축허가-112,강원도 원주시 학성동 233-1,대,444,123.18,199.43,,일반목구조,단독주택,,,길건축사사무소
신축,2021-신속허가과-신축허가-114,강원도 원주시 문막읍 건등리 187-16 외5필지,임야,"5,312","1,531.2","5,418.75",,철근콘크리트구조,의료시설,일반병원,033-743-2743,종합건축사사무소 비전
증축,2021-신속허가과-증축허가-24,강원도 원주시 개운동 447-3 외3필지,대,"1,798.6","1,076.08",999.85,156,컨테이너조,제1종근린생활시설,소매점,,건축사사무소섭리
신축,2021-안전도시과-신축허가-43,강원도 원주시 반곡동 2005-8,대,505.8,193.12,297.22,,철근콘크리트구조,단독주택,단독주택(1가구),033-746-8564,건축사사무소대원
신축,2021-신속허가과-신축허가-110,강원도 원주시 우산동 405-1,공장용지,777,485.93,477.04,,일반철골구조,창고시설,제2종근린생활시설(사무소),033-747-5799,건축사사무소지인
신축,2021-신속허가과-신축허가-111,강원도 원주시 개운동 309-14 외2필지,대,309,184.06,489.44,,철근콘크리트구조,단독주택,"(다가구),제2종근린생활시설",,비케이건축사사무소
증축,2021-건축과-증축허가-1,강원도 원주시 문막읍 취병리 704 외10필지,잡종지,"11,017","2,928.3","2,928.3",835.23,일반철골구조,동.식물관련시설,양돈,033-765-7283,土宇건축사사무소
증축,2021-신속허가과-증축허가-33,강원도 원주시 문막읍 동화리 1647-4,공장용지,"10,206","1,082.23","1,790.76","1,142.56",일반철골구조,공장,,033-765-7725,건축사사무소길
신축,2021-신속허가과-신축허가-153,강원도 원주시 개운동 494,전,254,92.41,145.45,,철근콘크리트구조,단독주택,단독주택,033-747-5077,주식회사건축사사무소이노
증축,2021-신속허가과-증축허가-32,강원도 원주시 원동 59-20,대,986,520.015,"1,729.334",357.904,철근콘크리트구조,노유자시설,사회복지시설,033-746-0467,조화 건축사사무소
신축,2021-안전도시과-신축허가-51,강원도 원주시 반곡동 1762-2 외2필지,답,823,159.66,478.98,,철근콘크리트구조,제1종근린생활시설,"소매점, 사무소",033-766-7079,가나건축사사무소
신축,2021-신속허가과-신축허가-151,강원도 원주시 명륜동 777,답,"1,539",496.58,993.16,,일반철골구조,제1종근린생활시설,소매점,033-742-4956,무진 건축사사무소
신축,2021-신속허가과-신축허가-152,강원도 원주시 판부면 서곡리 595-47,과수원,562,111.75,111.75,,경량철골구조,제2종근린생활시설,(수리점-카센타),033-742-4956,무진 건축사사무소
신축,2021-신속허가과-협의건축물-3,강원도 원주시 일산동 184-1 외1필지,대,"1,037.6",437.64,999.09,,철근콘크리트구조,제1종근린생활시설,마을회관,,(주)에이아이알 건축사사무소
용도변경,2021-건축과-용도변경허가-47,강원도 원주시 지정면 가곡리 1348-5,대,"1,198.7",799.326,"6,484.524",,철근콘크리트구조,제1종근린생활시설,"제2종근린생활시설,일반숙박시설",031-987-5585,(주)해인건축사사무소
용도변경,2021-건축과-용도변경허가-48,강원도 원주시 반곡동 2047-10,대,"22,879.4","7,569.74","61,541.73",,철근콘크리트구조,업무시설,,02-6489-2021,탈건축사사무소
신축,2021-신속허가과-신축허가-150,강원도 원주시 지정면 가곡리 1345-10,대,"1,469.3",963.62,"9,996.55",,철근콘크리트구조,제1종근린생활시설,의원,033-731-5084,성호건축사사무소
신축,2021-신속허가과-신축허가-149,강원도 원주시 명륜동 774-5,답,158,85.87,168.73,,철근콘크리트구조,제1종근린생활시설,휴게음식점,,율건축사사무소
신축,2021-신속허가과-신축허가-145,강원도 원주시 무실동 1119 외3필지,전,820,128.88,515.52,,철근콘크리트구조,단독주택,"다가구주택,제2종근린생활시설",033-743-9961,건축사사무소이지
신축,2021-신속허가과-신축허가-144,강원도 원주시 지정면 가곡리 1445-7,대,321,170.275,569.26,,철근콘크리트구조,단독주택,"다가구주택/1,2종근린생활시설",033-765-7283,土宇건축사사무소
용도변경,2021-건축과-용도변경허가-46,강원도 원주시 일산동 213-1,대,700,337.32,"1,554.36",,,제1종근린생활시설,"소매점, 한의원, 의원, 공연장, 단독주택, 주간보호센터",033-748-9658,(주)해인안전진단건축사사무소
용도변경,2021-건축과-용도변경허가-45,강원도 원주시 호저면 매호리 487 외1필지,대,660,116.6,108,,일반목구조,제1종근린생활시설,휴게음식점,033-764-8566,라인종합건축사사무소
신축,2021-신속허가과-신축허가-143,강원도 원주시 무실동 1900-7,대,281.9,122.96,195.79,,철근콘크리트구조,단독주택,,,조은 건축사사무소
증축,2021-신속허가과-증축허가-31,강원도 원주시 단계동 801-11,대,"1,227.8",433.92,"1,177.87",366.1,철근콘크리트구조,제1종근린생활시설,"소매점,의원",,건축사사무소예림
증축,2021-신속허가과-공용건축물-18,강원도 원주시 호저면 주산리 928-1,잡종지,"12,760.95","1,266.42","1,681.6","1,402.84",일반철골구조,창고시설,임업용창고시설,02-3476-8750,(주)전원에이앤씨 건축사사무소
신축,2021-신속허가과-신축허가-142,강원도 원주시 행구동 1858-1,대,281,139.99,303.82,,철근콘크리트구조,단독주택,,,율건축사사무소
신축,2021-신속허가과-신축허가-140,강원도 원주시 흥업면 매지리 357 외1필지,대,884,175.85,324.4,,일반철골구조,제1종근린생활시설,휴게음식점,033-735-1436,(주)윤건축사사무소
신축,2021-신속허가과-신축허가-141,강원도 원주시 태장동 730-22,대,707.55,127.51,198.84,,철근콘크리트구조,제1종근린생활시설,사무소,033-733-8207,종합건축사사무소 한신
증축,2021-신속허가과-증축허가-30,강원도 원주시 문막읍 반계리 2225,공장용지,"9,921.6","6,487.45","11,030.01",434.42,철근콘크리트구조,공장,공장,033-748-0075,건축사사무소조원
용도변경,2021-건축과-용도변경허가-44,강원도 원주시 지정면 신평리 581 외2필지,대,"1,650",126.39,126.39,,벽돌구조,단독주택,,033-748-8845,가산종합건축사사무소
신축,2021-안전도시과-신축허가-50,강원도 원주시 반곡동 2039-22,대,320.3,114.15,191.72,,철근콘크리트구조,단독주택,,025566903,(주)유타건축사사무소
신축,2021-신속허가과-신축허가-139,강원도 원주시 단계동 1175-4,대,259.7,148.2,355.74,,철근콘크리트구조,단독주택,제1종근린생활시설 및 단독주택(다가구주택),,율건축사사무소
용도변경,2021-건축과-용도변경허가-43,강원도 원주시 무실동 815-16,대,253,37.2,37.2,,,제2종근린생활시설,사무소,033-747-3322,신한건축사사무소
용도변경,2021-건축과-용도변경허가-41,강원도 원주시 태장동 897-15,대,316,87.23,84.98,,경량철골구조,제2종근린생활시설,사무소,033-747-0447,동성건축사사무소
