단지명,업체명,전화번호,종업원수,생산품,공장대표주소(도로명),공장대표주소(지번),업종명,관리기관,관리기관전화번호,데이터기준일자
원주동화일반산업단지,(주)엠에스그리드,033-737-8380,12,"변압기, 개폐기",강원도 원주시 문막읍 동화공단로 32,강원도 원주시 문막읍 동화리 1672-3번지,변압기 제조업 외 1 종,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,(주)엠큐어,033-734-5970,27,자동약물 주입기,"강원도 원주시 태장공단길 42-10, 의료기기산업단지 4동 203호, 208호, 209호 (태장동)","강원도 원주시 태장동 1720-26번지 의료기기산업단지 4동 203호, 208호, 209호",그 외 기타 의료용 기기 제조업,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,(주)영진,033-742-3351,5,"CCTV카메라, 스피커, 오디오엠프, 오디오믹서 등",강원도 원주시 태장공단길 42-1 (태장동),강원도 원주시 태장동 1720-22,방송장비 제조업 외 1 종,강원도 원주시,033-737-2982,2021-10-31
원주문막지방산업단지,(주)영화제이,033-732-5530,11,물엿,강원도 원주시 문막읍 문막공단길 103 (㈜영화제이공장),강원도 원주시 문막읍 반계리 2236-4번지,전분제품 및 당류 제조업,강원도 원주시,033-737-2982,2021-10-31
원주문막농공단지,(주)오스코리아제약,033-731-2801,41,조영제,강원도 원주시 문막읍 문막공단길 252,강원도 원주시 문막읍 반계리 5-7번지,완제 의약품 제조업,강원도 원주시,033-737-2982,2021-10-31
원주문막농공단지,(주)오코헬스케어,033-731-2805,30,보건용마스크,강원도 원주시 문막읍 문막공단길 250,강원도 원주시 문막읍 문막공단길 250,기타 직물제품 제조업,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,(주)오토메이션,033-735-7767,5,"계장(계측)제어장치, 자동제어반, 유량계, 프로세스제어반","강원도 원주시 태장공단길 51, C동 3호 (태장동, 원주창업보육센터)",강원도 원주시 태장동 1720-38번지 원주창업보육센터 C동 3호,배전반 및 전기 자동제어반 제조업 외 2 종,강원도 원주시,033-737-2982,2021-10-31
원주문막농공단지,(주)오토테크,033-732-3702,40,자동차조향장치,강원도 원주시 문막읍 문막공단길 248,강원도 원주시 문막읍 반계리 5-11번지,그 외 자동차용 신품 부품 제조업 외 3 종,강원도 원주시,033-737-2982,2021-10-31
원주동화농공단지,(주)옵토바이오메드,033-742-6015,5,"피부영상분석시스템,편광확대경",강원도 원주시 문막읍 동화공단로 152,강원도 원주시 문막읍 동화리 1652-3번지,기타 광학기기 제조업,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,(주)와이에이테크,,2,"전기자동제어반, 배전반",강원도 원주시 태장공단길 59 (태장동) 비동,강원도 원주시 태장동 1720-4 비동,배전반 및 전기 자동제어반 제조업,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,(주)우리이엔지,033-734-0697,3,"자동제어반, 전기자동제어반",강원도 원주시 태장공단길 59 (태장동),강원도 원주시 태장동 1720-4번지,배전반 및 전기 자동제어반 제조업,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,(주)우진,033-761-4243,11,"LED조명, LED신호등, LED가로등, LED보안등, 배전반, 자동제어반, 태양광발전장치,태양광가로등,전광판, 태양광",강원도 원주시 태장공단길 50 (태장동),강원도 원주시 태장동 1720-61번지,일반용 전기 조명장치 제조업 외 13 종,강원도 원주시,033-737-2982,2021-10-31
원주동화농공단지,(주)원앙의료기,033-742-4221,12,개인용조합자극기,강원도 원주시 문막읍 동화공단로 84-1,강원도 원주시 문막읍 동화리 1642-10번지,그 외 기타 의료용 기기 제조업,강원도 원주시,033-737-2982,2021-10-31
원주동화농공단지,(주)윌트리,033-900-1223,4,"저주파치료기, 적외선조사기","강원도 원주시 문막읍 동화공단로 130-2, 2동 201호",강원도 원주시 문막읍 동화리 1642-5번지 2동 201호,전기식 진단 및 요법 기기 제조업,강원도 원주시,033-737-2982,2021-10-31
원주동화농공단지,(주)유원메디텍,031-286-8770,9,"인공복막용 메쉬, 의료용 견인기 등","강원도 원주시 문막읍 동화공단로 147-1, 동화의료기기생산공장 101, 103, 104, 108, 113, 114, 117호","강원도 원주시 문막읍 동화리 1667-7 동화의료기기생산공장 101, 103, 104, 108, 113, 114, 117호",의료용품 및 기타 의약 관련제품 제조업,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,(주)유일테크,033-748-8573,,"목재안내 표지판, 바닥형 보행신호등","강원도 원주시 태장공단길 51, A동 208호(태장동, 원주창업보육센터)",강원도 원주시 태장동 1720-38 원주창업보육센터 A동 208호,간판 및 광고물 제조업 외 3 종,강원도 원주시,033-737-2982,2021-10-31
원주우산일반산업단지,(주)유정개발,033-742-3661,59,"배수관, 오수관",강원도 원주시 우두산길 19 (우산동),강원도 원주시 우산동 411-3번지,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,(주)이레이앤엘,033-812-2335,6,"놀이터 용품, 야외헬스조립, 건축용 나무제품","강원도 원주시 태장공단길 42-1, 101호 (태장동)",강원도 원주시 태장동 1720-22번지 101호,놀이터용 장비 제조업 외 5 종,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,(주)이엔씨파워,033-734-1037,10,"LED 램프, LED 형광등, 도로명판 등","강원도 원주시 태장공단길 50, 1동 101호 (태장동)",강원도 원주시 태장동 1720-61번지 1동 101호,전구 및 램프 제조업 외 9 종,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,(주)이엔에스,033-731-2988,9,"조명기구, 전광판, 조형물, 디지털영상정보안내시스템","강원도 원주시 태장공단길 51, C-1 (태장동, 원주창업보육센터)",강원도 원주시 태장동 1720-38번지 원주창업보육센터 C-1,일반용 전기 조명장치 제조업 외 5 종,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,(주)인성이엔지,033-764-2297,3,스피커,강원도 원주시 태장공단길 54-4 (태장동) 3층,강원도 원주시 태장동 1720-13 3층,방송장비 제조업,강원도 원주시,033-737-2982,2021-10-31
원주동화농공단지,(주)인스킨,070-4027-7721,14,의료용레이져장비,"강원도 원주시 문막읍 동화공단로 130-2, 1-101호",강원도 원주시 문막읍 동화리 1642-5번지 1-101호,그 외 기타 의료용 기기 제조업,강원도 원주시,033-737-2982,2021-10-31
원주자동차부품일반산업단지,(주)인하에이엠티,033-744-3900,14,차량용 공기조절장치,"강원도 원주시 문막읍 세오름길 26, BL-7",강원도 원주시 문막읍 동화리 1288-3번지,그 외 자동차용 신품 부품 제조업 외 3 종,강원도 원주시,033-737-2982,2021-10-31
원주문막지방산업단지,(주)일광,033-731-2086,38,자동차부품,강원도 원주시 문막읍 문막공단길 178,강원도 원주시 문막읍 반계리 2228번지,그 외 자동차용 신품 부품 제조업,강원도 원주시,033-737-2982,2021-10-31
원주문막농공단지,(주)일신캐스팅,033-732-8155,100,"HSG, CARR류",강원도 원주시 문막읍 문막공단길 80 (㈜만도원주제1공장),강원도 원주시 문막읍 반계리 5-22번지 ㈜만도원주제1공장,그 외 자동차용 신품 부품 제조업 외 1 종,강원도 원주시,033-737-2982,2021-10-31
원주문막농공단지,(주)일신테크,033-732-8155,44,"캐리어,캘리퍼",강원도 원주시 문막읍 문막공단길 61,강원도 원주시 문막읍 반계리 5-31번지,그 외 자동차용 신품 부품 제조업 외 3 종,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,(주)전성,033-766-6679,6,버스승강장 등,"강원도 원주시 태장공단길 42-1, 1층 105호 (태장동)",강원도 원주시 태장동 1720-60번지 1층 105호,육상 금속 골조 구조재 제조업 외 5 종,강원도 원주시,033-737-2982,2021-10-31
원주문막지방산업단지,(주)제이산업,,3,자동차부품,"강원도 원주시 문막읍 문막공단길 103, F호 (㈜영화제이공장)",강원도 원주시 문막읍 반계리 2236-4번지 ㈜영화제이공장 F호,그 외 기타 금속가공업,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,(주)제중메디칼,033-747-5363,5,엑스레이 뷰 박스,"강원도 원주시 태장공단길 42-10, 의료기기산업기술단지 1 110호 (태장동)",강원도 원주시 태장동 1720-26번지,그 외 기타 의료용 기기 제조업,강원도 원주시,033-737-2982,2021-10-31
원주동화일반산업단지,(주)중일전기,033-743-0071,37,"경관조명기구, 태양광발전장치",강원도 원주시 문막읍 동화공단로 85-6,강원도 원주시 문막읍 동화리 1680-6번지,일반용 전기 조명장치 제조업 외 3 종,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,(주)지텍스,033-735-3830,2,부직포,강원도 원주시 태장공단길 55 (태장동) D동,강원도 원주시 태장동 1720-33 D동,부직포 및 펠트 제조업 외 2 종,강원도 원주시,033-737-2982,2021-10-31
원주문막농공단지,(주)진성산업,033-742-9491,30,안전벨트,강원도 원주시 문막읍 문막공단길 69,강원도 원주시 문막읍 반계리 2194번지,그 외 자동차용 신품 부품 제조업 외 3 종,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,(주)진텍,033-734-7945,6,"목재데크, 금속제울타리, 보행매트",강원도 원주시 태장공단길 54-2(태장동),강원도 원주시 태장동 1720-12,구조용 금속 판제품 및 공작물 제조업 외 2 종,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,(주)진한,033-765-0890,3,"차양 및 도로시설물, 비치파라솔, 야외운동기구, 옥외용벤치, 퍼걸러","강원도 원주시 태장공단길 51, C-2 (태장동, 원주창업보육센터)",강원도 원주시 태장동 1720-38번지 원주창업보육센터 C-2,구조용 금속 판제품 및 공작물 제조업 외 4 종,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,(주)참빛라이팅,033-734-1411,3,LED 다운라이트,"강원도 원주시 태장공단길 51, C동 3호 (태장동)",강원도 원주시 태장동 1720-38번지 C동 3호,일반용 전기 조명장치 제조업,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,(주)참존,033-741-8500,125,화장품,"강원도 원주시 태장공단길 58 (태장동, (주)참존)",강원도 원주시 태장동 1720-5번지 (주)참존,완제 의약품 제조업 외 1 종,강원도 원주시,033-737-2982,2021-10-31
원주우산일반산업단지,(주)청아굿푸드 농업회사법인,033-3440-645,10,더덕무침 등,강원도 원주시 우산공단길 26(우산동),강원도 원주시 우산동 333-6,과실 및 그 외 채소 절임식품 제조업,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,(주)쵸이스테크,033-734-2023,2,"울타리, 계단",강원도 원주시 태장공단길 42-1 (태장동),강원도 원주시 태장동 1720-22,구조용 금속 판제품 및 공작물 제조업,강원도 원주시,033-737-2982,2021-10-31
원주문막지방산업단지,(주)케이씨씨,033-749-4521,90,유리섬유,강원도 원주시 문막읍 문막공단길 106 ((주)KCC문막공장),강원도 원주시 문막읍 반계리 2239번지,"1차 유리제품, 유리섬유 및 광학용 유리 제조업",강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,(주)케이앤에프컴퍼니,070-8836-2057,6,버스안내단말기,"강원도 원주시 태장공단길 51 (태장동) 원주창업보육센터 A동 206호, 207호","강원도 원주시 태장동 1720-38 원주창업보육센터 A동 206호, 207호",비디오 및 기타 영상기기 제조업 외 1 종,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,(주)케이에너지시스템,033-766-9273,6,"스마트미터기, 전력변환장치 등","강원도 원주시 태장공단길 51, A동 102호(태장동, 원주창업보육센터)",강원도 원주시 태장동 1720-38 원주창업보육센터 A동 102호,기타 전기 변환장치 제조업,강원도 원주시,033-737-2982,2021-10-31
원주동화일반산업단지,(주)케이에스알,033-744-8681,9,가드레일 등 철제제품 생산,강원도 원주시 문막읍 동화공단로 58-1,강원도 원주시 문막읍 동화리 1669-2번지,"금속 문, 창, 셔터 및 관련제품 제조업 외 5 종",강원도 원주시,033-737-2982,2021-10-31
원주동화일반산업단지,(주)케이에이씨,033-735-0349,191,자동차부품,강원도 원주시 문막읍 동화공단로 85-3,강원도 원주시 문막읍 동화리 1680-3번지,그 외 자동차용 신품 부품 제조업 외 5 종,강원도 원주시,033-737-2982,2021-10-31
원주우산일반산업단지,(주)케이엠텍,33,49,자동차조향장치,강원도 원주시 우산로 180-14 (우산동),강원도 원주시 우산동 333-17번지,그 외 자동차용 신품 부품 제조업 외 3 종,강원도 원주시,033-737-2982,2021-10-31
원주동화농공단지,(주)코어웨어,033-742-0178,2,디지털 엑스레이 소프트웨어,강원도 원주시 문막읍 동화공단로 84,강원도 원주시 문막읍 동화리 1642-11번지,방사선 장치 제조업,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,(주)코하스,033-733-4215,2,의료용오존소독기,강원도 원주시 태장동 원주의료기기산업단지 3동 103호,강원도 원주시 태장동 원주의료기기산업단지 3동 103호,그 외 기타 의료용 기기 제조업,강원도 원주시,033-737-2982,2021-10-31
원주동화농공단지,(주)태연메디칼,033-742-7555,31,정영회과 치과용 임플란트,강원도 원주시 문막읍 동화공단로 132-1,강원도 원주시 문막읍 동화리 1642-4번지,정형외과용 및 신체보정용 기기 제조업 외 2 종,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,(주)태장엘이디,033-737-0111,7,"조명기구, 조형물","강원도 원주시 태장공단길 51, A동 B01호 (태장동, 원주창업보육센터)",강원도 원주시 태장동 1720-38번지 원주창업보육센터 A동 B01호,일반용 전기 조명장치 제조업 외 3 종,강원도 원주시,033-737-2982,2021-10-31
원주동화일반산업단지,(주)태진,033-744-7480,37,오일필터,강원도 원주시 문막읍 동화공단로 68-1,강원도 원주시 문막읍 동화리 1668-2번지,그 외 자동차용 신품 부품 제조업 외 3 종,강원도 원주시,033-737-2982,2021-10-31
원주자동차부품일반산업단지,(주)태진 제2공장,033-743-7481,12,오일필터,강원도 원주시 문막읍 세오름길 38 외 1필지,강원도 원주시 문막읍 동화리 1703번지 외 1필지,그 외 자동차용 신품 부품 제조업 외 3 종,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,(주)태초,033-732-1040,2,"다목적 분사장치, 미생물 발효제",강원도 원주시 태장공단길 51 (태장동) 원주창업보육센터 A-104호,강원도 원주시 태장동 1720-38 원주창업보육센터 A-104호,분사기 및 소화기 제조업 외 1 종,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,(주)티앤씨,033-732-3990,16,"CCTV, 무인교통감시장치, 디지털영상정보시스템, 교통신호제어기, 신호등주, 가로등주",강원도 원주시 태장공단길 42-7 (태장동),강원도 원주시 태장동 1720-19번지,방송장비 제조업 외 7 종,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,(주)파리크라상,033-738-7200,271,"카스테라, 만주 등","강원도 원주시 태장공단길 43 (태장동, (주)파리크라상) 외 1필지",강원도 원주시 태장동 1720-39번지 (주)파리크라상 외 1필지,빵류 제조업,강원도 원주시,033-737-2982,2021-10-31
원주문막농공단지,(주)팜텍코리아,033-731-9757,49,"홍삼, 홍삼액",강원도 원주시 문막읍 문막공단길 59,강원도 원주시 문막읍 반계리 5-21번지,건강기능식품 제조업 외 1 종,강원도 원주시,033-737-2982,2021-10-31
원주동화농공단지,(주)퓨런메디칼,033-747-7762,3,요실금치료기,"강원도 원주시 문막읍 동화공단로 130-2, 강원테크노파크 206호",강원도 원주시 문막읍 동화리 1642-5번지,그 외 기타 의료용 기기 제조업,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,(주)프로메디,033-734-2147,5,"공기압치료기, 기능적 전기 자극기","강원도 원주시 태장공단길 42-10, 원주의료기기산업기술단지 2동 201, 209호 (태장동)","강원도 원주시 태장동 1720-26번지 원주의료기기산업기술단지 2동 201, 209호",그 외 기타 의료용 기기 제조업,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,(주)하나씨엔에스,033-747-0999,6,"접이식폴대, CCTV카메라, 자동제어반 및 계장제어장치",강원도 원주시 태장공단길 42-11 (태장동),강원도 원주시 태장동 1720-57번지,육상 금속 골조 구조재 제조업 외 4 종,강원도 원주시,033-737-2982,2021-10-31
원주동화농공단지,(주)하늘마음바이오 원주지점,02-525-2318,5,채혈기,강원도 원주시 문막읍 동화공단로 151,강원도 원주시 문막읍 동화리 1654-1번지,그 외 기타 의료용 기기 제조업,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,(주)한국이엔씨,033-734-5435,10,공기조절기/FFU,"강원도 원주시 태장공단길 42-13 (태장동, (주)한국이엔씨)",강원도 원주시 태장동 1720-16번지,공기 조화장치 제조업,강원도 원주시,033-737-2982,2021-10-31
원주문막지방산업단지,(주)한라홀딩스 원주센터,02-526-0584,55,조향장치 부품,강원도 원주시 문막읍 문막공단길 75 (문막읍),강원도 원주시 문막읍 반계리 2236번지,그 외 자동차용 신품 부품 제조업 외 3 종,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,(주)한미메디테크,033-734-1811,6,인공 심폐용 혈액회로,"강원도 원주시 태장공단길 42-10, 원주의료기기산업기술단지 122호 (태장동)",강원도 원주시 태장동 1720-26번지,그 외 기타 의료용 기기 제조업,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,(주)한서,033-746-2110,14,"가로등,승강장구조물,가로등자동점멸기",강원도 원주시 태장공단길 47 (태장동),강원도 원주시 태장동 1720-35번지,육상 금속 골조 구조재 제조업 외 8 종,강원도 원주시,033-737-2982,2021-10-31
원주문막농공단지,(주)한일티앤씨,033-345-5682,46,"무대기계장치, 일반조명장치, led 가로등, 경관조명기구전광판, 무대기계제어시스템, 회전무대등 ",강원도 원주시 문막읍 문막공단길 69,강원도 원주시 문막읍 반계리 2194번지,그 외 기타 특수목적용 기계 제조업 외 13 종,강원도 원주시,033-737-2982,2021-10-31
원주동화농공단지,(주)한일티엠,,15,재활용의료기기,강원도 원주시 문막읍 동화공단로 107-2,강원도 원주시 문막읍 동화리 1667-2번지,그 외 기타 의료용 기기 제조업,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,(주)한지이야기,033-745-7550,5,"한지그릇,티셔츠","강원도 원주시 태장공단길 51, A-B01호 (태장동)",강원도 원주시 태장동 1720-38번지 A-B01호,기타 종이 상자 및 용기 제조업,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,(주)헤라비스틸,033-764-8234,3,"낙석방지막,낙석방지책, 네일, 탄성볼트 등","강원도 원주시 태장공단길 54-2 (태장동, (주)아신)",강원도 원주시 태장동 1720-12번지 (주)아신,금속선 가공제품 제조업 외 3 종,강원도 원주시,033-737-2982,2021-10-31
원주동화농공단지,(주)헬스웰메디칼,033-732-0795,38,"플라즈마 멸균기, AED 배터리",강원도 원주시 문막읍 동화공단로 101-2,강원도 원주시 문막읍 동화리 1665-1번지,그 외 기타 의료용 기기 제조업 외 6 종,강원도 원주시,033-737-2982,2021-10-31
원주문막지방산업단지,(주)현대이엔지,033-732-3811,50,자동차 조향장치,강원도 원주시 문막읍 문막공단길 101 (현대이엔지),강원도 원주시 문막읍 반계리 2236-5번지,그 외 자동차용 신품 부품 제조업 외 3 종,강원도 원주시,033-737-2982,2021-10-31
원주자동차부품일반산업단지,(주)화동뉴텍,033-734-9371,50,"rack housing, valve housing, shaft",강원도 원주시 문막읍 세오름길 22,강원도 원주시 문막읍 동화리 1714,그 외 자동차용 신품 부품 제조업 외 3 종,강원도 원주시,033-737-2982,2021-10-31
원주동화일반산업단지,(주)휠트론,033-744-1374,32,"오일필터, UPPERBODY",강원도 원주시 문막읍 동화공단로 85-5,강원도 원주시 문막읍 동화리 1680-5번지,액체 여과기 제조업 외 4 종,강원도 원주시,033-737-2982,2021-10-31
원주동화농공단지,(주)휴러스트,033-733-1733,4,"이온도입기,의료용현미경,LED조명","강원도 원주시 문막읍 동화공단로 147-1, 116호 (동화의료기기생산공장)",강원도 원주시 문막읍 동화리 1667-7번지 116호 (동화의료기기생산공장),그 외 기타 의료용 기기 제조업 외 1 종,강원도 원주시,033-737-2982,2021-10-31
원주동화농공단지,(주)휴레브,033-747-7171,38,의료용전극,강원도 원주시 문막읍 동화공단로 107-3,강원도 원주시 문막읍 동화리 1667-3번지,전기식 진단 및 요법 기기 제조업,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,153기업 주식회사,070-7574-1530,5,교통신호장치 외,강원도 원주시 태장공단길 42-1 (태장동),강원도 원주시 태장동 1720-22,교통 신호장치 제조업 외 6 종,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,가아전기(주),033-747-7136,11,"수,배전반제조, 자동제어반, CCTV, 프로세스제어반, 유량계","강원도 원주시 태장공단길 42-3 (태장동, 가아전기(주))",강원도 원주시 태장동 1720-21번지,배전반 및 전기 자동제어반 제조업 외 9 종,강원도 원주시,033-737-2982,2021-10-31
원주우산일반산업단지,강원케이엠,033-731-2013,,금속천장재,강원도 원주시 우산공단길 26-11 (우산동),강원도 원주시 우산동 411-12,구조용 금속 판제품 및 공작물 제조업,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,경원엠텍,033-745-3548,6,"냉동기, 공기조화기,저장고, 액체여과기, 열교환기, 자동제어","강원도 원주시 태장공단길 42-3, 다동 (태장동)",강원도 원주시 태장동 1720-21번지 다동,산업용 냉장 및 냉동 장비 제조업 외 5 종,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,고려엔비텍(주),033-734-0250,5,"수처리장치, 수문, 수문권양기, 호이스트 및 크레인, 수격방지기",강원도 원주시 태장공단길 54-7 (태장동),강원도 원주시 태장동 1720-56번지,액체 여과기 제조업 외 5 종,강원도 원주시,033-737-2982,2021-10-31
원주문막농공단지,고려인삼(주),033-731-5760,13,"인삼차, 인삼엑기스, 홍삼환, 홍차, 한차",강원도 원주시 문막읍 문막공단길 226,강원도 원주시 문막읍 반계리 5-33번지,차류 가공업 외 3 종,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,그린원,,4,"버스승강장(미세먼지대피소 외 7종),  퍼컬러, 기타 조경시설물",강원도 원주시 태장공단길 42-1 (태장동),강원도 원주시 태장동 1720-22,육상 금속 골조 구조재 제조업 외 1 종,강원도 원주시,033-737-2982,2021-10-31
원주동화일반산업단지,금호기업(주),033-743-2296,30,오일필터,강원도 원주시 문막읍 동화공단로 26,강원도 원주시 문막읍 동화리 1673번지,그 외 자동차용 신품 부품 제조업 외 3 종,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,길한산업(주),033-735-3883,17,"부직포,직포매트",강원도 원주시 태장공단길 55 (태장동),강원도 원주시 태장동 1720-33번지,부직포 및 펠트 제조업 외 2 종,강원도 원주시,033-737-2982,2021-10-31
원주문막지방산업단지,농업회사법인 꿈터종합식품(주),033-732-8851,62,단무지,강원도 원주시 문막읍 문막공단길 190,강원도 원주시 문막읍 반계리 2232번지,김치류 제조업 외 1 종,강원도 원주시,033-737-2982,2021-10-31
원주문막농공단지,대덕ENG,033-737-0217,8,자동차 조향부품,강원도 원주시 문막읍 문막공단길 228,강원도 원주시 문막읍 반계리 5-15,자동차용 신품 조향장치 및 현가 장치 제조업,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,대산전업,033-745-6200,5,"수배전반, 자동제어반",강원도 원주시 태장공단길 42-1 (태장동),강원도 원주시 태장동 1720-22번지,배전반 및 전기 자동제어반 제조업 외 4 종,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,대신네트웍스(주),033-766-0844,2,cctv,"강원도 원주시 태장공단길 42-7, 가동 지하 (태장동)",강원도 원주시 태장동 1720-19 가동 지하,방송장비 제조업,강원도 원주시,033-737-2982,2021-10-31
원주동화농공단지,대양의료기(주),033-747-4466,16,"초음파,저주파치료기",강원도 원주시 문막읍 동화공단로 147,강원도 원주시 문막읍 동화리 1656-1번지,그 외 기타 의료용 기기 제조업,강원도 원주시,033-737-2982,2021-10-31
원주우산일반산업단지,대월식품,033-744-9292,5,떡,강원도 원주시 우산공단길 26 (우산동),강원도 원주시 우산동 333-6번지,떡류 제조업,강원도 원주시,033-737-2982,2021-10-31
원주문막농공단지,대한화인세라믹(주),033-731-7441,41,세라믹코팅제,강원도 원주시 문막읍 문막공단길 37 (대한화인세라믹(주)),강원도 원주시 문막읍 반계리 5-3번지,그 외 기타 분류 안된 화학제품 제조업,강원도 원주시,033-737-2982,2021-10-31
원주동화농공단지,대화기기(주),033-743-9383,8,전기수술기,강원도 원주시 문막읍 동화공단로 135,강원도 원주시 문막읍 동화리 1656-2번지,그 외 기타 의료용 기기 제조업,강원도 원주시,033-737-2982,2021-10-31
원주우산일반산업단지,덕원산업(주),033-731-8250,19,웰딩와이어,강원도 원주시 우두산길 7 (우산동) 외 1필지,강원도 원주시 우산동 405-40번지 외 1필지,그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,도원,033-735-3360,3,"경관조명, 스포츠조명, LED실내조명","강원도 원주시 태장공단길 50, 1동 102호 (태장동)",강원도 원주시 태장동 1720-61번지 1동 102호,일반용 전기 조명장치 제조업 외 3 종,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,동국생명과학(주),033-734-0860,51,조영제,"강원도 원주시 태장공단길 54-1 (태장동, 동국정밀화학(주))",강원도 원주시 태장동 1720-9번지,의약용 화합물 및 항생물질 제조업 외 2 종,강원도 원주시,033-737-2982,2021-10-31
원주자동차부품일반산업단지,동아정공(주),033-901-2200,10,자동차부품,"강원도 원주시 문막읍 세오름길 26,   BL A-5",강원도 원주시 문막읍 동화리 1288-3 번지  BL A-5,그 외 자동차용 신품 부품 제조업 외 3 종,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,동해엔지니어링(주),033-0747-5600,21,"수중모터펌프,오수용펌프, 수문","강원도 원주시 태장공단길 57 (태장동, 동해엔지니어링(주))",강원도 원주시 태장동 1720-3번지,액체 펌프 제조업 외 6 종,강원도 원주시,033-737-2982,2021-10-31
원주우산일반산업단지,디.에스 테크,33,,식품기계,강원도 원주시 우산공단길 26 (우산동),강원도 원주시 우산동 333-6번지,음ㆍ식료품 및 담배 가공기계 제조업,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,라이팅스퀘어,033-737-0559,2,"일반용조명장치, 공원등, 집성목재공원등, 경관조명, 볼라드","강원도 원주시 태장공단길 51, A-207(원주창업보육센터) (태장동, 원주창업보육센터)",강원도 원주시 태장동 1720-38번지 원주창업보육센터 A-207(원주창업보육센터),일반용 전기 조명장치 제조업 외 2 종,강원도 원주시,033-737-2982,2021-10-31
원주동화일반산업단지,롯데칠성음료주식회사,02-3459-1300,5,물류,강원도 원주시 문막읍 동화공단로 85-7,강원도 원주시 문막읍 동화리 1680-7번지,일반 창고업,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,리펭코리아 주식회사,033-747-7210,1,"정비용리프트,금속가공풍,유압기계","강원도 원주시 태장공단길 54-4 (태장동, 한미실업(주))",강원도 원주시 태장동 1720-13번지,구조용 금속 판제품 및 공작물 제조업 외 1 종,강원도 원주시,033-737-2982,2021-10-31
원주문막농공단지,명성산업(주),033-731-5390,39,"종이가방,포대",강원도 원주시 문막읍 문막공단길 235 (명성산업공장),강원도 원주시 문막읍 반계리 5-5번지,종이 포대 및 가방 제조업,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,명지페인텍,033-747-7821,8,분체도장,"강원도 원주시 태장공단길 40 (태장동, KJ페인텍)",강원도 원주시 태장동 1720-31번지,도장 및 기타 피막처리업,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,미래,033-733-1288,5,"태양광가로등, 비상경보기 등","강원도 원주시 태장공단길 42-1, 105호 (태장동) 외 1필지",강원도 원주시 태장동 1720-22번지 105호 외 1필지,기타 가정용 전기기기 제조업,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,반곡기업,,2,배전반,강원도 원주시 태장공단길 42-1 (태장동),강원도 원주시 태장동 1720-60번지,배전반 및 전기 자동제어반 제조업,강원도 원주시,033-737-2982,2021-10-31
